uuid;name;shortname;synonym-1;description;reference-term-source;reference-term-code;reference-term-relationship;class;datatype;is-set;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Introduction of Local Anesthetic in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Local Anesthetic in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7BZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Radioactive Substance in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Radioactive Substance in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7HZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Diagnostic Substance in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Diagnostic Substance in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7KZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Analgesics, Hypnotics, Sedatives in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Analgesics, Hypnotics, Sedatives in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7NZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Antiarrhythmic in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Antiarrhythmic in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7RZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Destructive Agent in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Destructive Agent in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7TZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Therapeutic Substance in Upper GI Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Therapeutic Substance in Upper GI Via Natural or Artificial Opening;ICD10 PCS-BD;3E0G7GC;SAME-AS;Procedure;N/A;;;;;
;Introduction of Inhalation Anesthetic in Respiratory Tract Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Inhalation Anesthetic in Respiratory Tract Via Natural or Artificial Opening;ICD10 PCS-BD;3E0F7DZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Diagnostic Substance in Respiratory Tract Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Diagnostic Substance in Respiratory Tract Via Natural or Artificial Opening;ICD10 PCS-BD;3E0F7GC;SAME-AS;Procedure;N/A;;;;;
;Introduction of Nitric Oxide in Respiratory Tract Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Nitric Oxide in Respiratory Tract Via Natural or Artificial Opening;ICD10 PCS-BD;3E0F7SD;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Gas in Respiratory Tract Via Natural or Artificial Opening;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Gas in Respiratory Tract Via Natural or Artificial Opening;ICD10 PCS-BD;3E0F7SF;SAME-AS;Procedure;N/A;;;;;
;Introduction of Oxazolidinones in Joints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Oxazolidinones in Joints Via Percutaneous;ICD10 PCS-BD;3E0U328;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Anti-infective in Upper GI Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Anti-infective in Upper GI Via Percutaneous;ICD10 PCS-BD;3E0U329;SAME-AS;Procedure;N/A;;;;;
;Introduction of Anti-inflammatory in Joints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Anti-inflammatory in Joints Via Percutaneous;ICD10 PCS-BD;3E0U33Z;SAME-AS;Procedure;N/A;;;;;
;Introduction of Nutritional Substance in Joints Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Nutritional Substance in Joints Percutaneous;ICD10 PCS-BD;3E0U76Z;SAME-AS;Procedure;N/A;;;;;
;Introduction of Electrolytic and Water Balance Substance inJoints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Electrolytic and Water Balance Substance inJoints Via Percutaneous;ICD10 PCS-BD;3E0U77Z;SAME-AS;Procedure;N/A;;;;;
;Introduction of Local Anesthetic in Joints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Local Anesthetic in Joints Via Percutaneous;ICD10 PCS-BD;3E0U7BZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Radioactive Substance in Joints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Radioactive Substance in Joints Via Percutaneous;ICD10 PCS-BD;3E0U7HZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Diagnostic Substance in Joints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Diagnostic Substance in Joints Via Percutaneous;ICD10 PCS-BD;3E0U7KZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Analgesics, Hypnotics, Sedatives in Joints Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Analgesics, Hypnotics, Sedatives in Joints Percutaneous;ICD10 PCS-BD;3E0U7NZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Destructive Agent in Joints Via Percutaneous;;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Destructive Agent in Joints Via Percutaneous;ICD10 PCS-BD;3E0U7TZ;SAME-AS;Procedure;N/A;;;;;
;Introduction of Other Therapeutic Substance in Joints Via Percutaneous;Intra Articular Steroid Injection;;Introduction:(Putting in or on a therapeutic, diagnostic, nutritional, physiological, or prophylactic substance except blood or blood products) of Other Therapeutic Substance in Joints Via Percutaneous;ICD10 PCS-BD;3E0U7GC;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Electrical Activity Via External;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Electrical Activity Via External ;ICD10 PCS-BD;4A02X4Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Output Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Output Via External ;ICD10 PCS-BD;4A02X9Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Rate Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Rate Via External ;ICD10 PCS-BD;4A02XCZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Rhythm Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Rhythm Via External ;ICD10 PCS-BD;4A02XFZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Sound Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Sound Via External ;ICD10 PCS-BD;4A02XHZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Action Currents Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Action Currents Via External ;ICD10 PCS-BD;4A02XPZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Total Activity for Stress Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Total Activity for Stress Via External ;ICD10 PCS-BD;4A02XM4;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Pulse Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Pulse Via External ;ICD10 PCS-BD;4A033J1;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Arterial Pressure Via Percutaneous ;;Blood pressure Measurement;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Arterial Pressure Via Percutaneous ;ICD10 PCS-BD;4A033B1;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Arterial Flow Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Arterial Flow Via External ;ICD10 PCS-BD;4A04X51;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Arterial Pressure Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Arterial Pressure Via External ;ICD10 PCS-BD;4A04XB1;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Arterial Sound Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Arterial Sound Via External ;ICD10 PCS-BD;4A04XH1;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Arterial Pulse Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Arterial Pulse Via External ;ICD10 PCS-BD;4A04XJ1;SAME-AS;Procedure;N/A;;;;;
;Measurement of Peripheral Arterial Saturation Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Peripheral Arterial Saturation Via External ;ICD10 PCS-BD;4A04XR1;SAME-AS;Procedure;N/A;;;;;
;Measurement of Visual Acuity Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Visual Acuity Via External ;ICD10 PCS-BD;4A07X0Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Visual Mobility Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Visual Mobility Via External ;ICD10 PCS-BD;4A07X7Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Visual Pressure Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Visual Pressure Via External ;ICD10 PCS-BD;4A07XBZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Olfactory Acuity Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Olfactory Acuity Via External ;ICD10 PCS-BD;4A08X0Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Temperature Via Natural or Artificial Opening ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Temperature Via Natural or Artificial Opening ;ICD10 PCS-BD;4A0Z7KZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Temperature Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Temperature Via External ;ICD10 PCS-BD;4A0ZXKZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Sleep Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Sleep Via External ;ICD10 PCS-BD;4A0ZXQZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Electrical Activity Via Percutaneous ;ECG;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Electrical Activity Via Percutaneous ;ICD10 PCS-BD;4A0234Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Output Via Percutaneous ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Output Via Percutaneous ;ICD10 PCS-BD;4A0239Z;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Rate Via Percutaneous ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Rate Via Percutaneous ;ICD10 PCS-BD;4A023CZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Rhythm Via Percutaneous ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Rhythm Via Percutaneous ;ICD10 PCS-BD;4A023FZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Sound Via Percutaneous ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Sound Via Percutaneous ;ICD10 PCS-BD;4A023HZ;SAME-AS;Procedure;N/A;;;;;
;Measurement of Cardiac Electrical Activity Ambulatory Via External ;;;Measurement:(Determining the level of a physiological or physical function at a point in time) of Cardiac Electrical Activity Ambulatory Via External ;ICD10 PCS-BD;4A02X45;SAME-AS;Procedure;N/A;;;;;
;Assistance for Cardiac Body System;;Cardiopulmonary Resuscitation;Assistance:( Taking over a portion of a physiological function by extracorporeal means) for Cardiac Body System;ICD10 PCS-BD;5A02215;SAME-AS;Procedure;N/A;;;;;
;Performance of Cardiac Body System;;External chest compression ;Performance:( Completely taking over a physiological function by extracorporeal means) of Cardiac Body System;ICD10 PCS-BD;5A12012;SAME-AS;Procedure;N/A;;;;;
;Phototherapy of Skin by Single Duration;;;Phototherapy:(Extracorporeal treatment by light rays) of Skin by Single Duration;ICD10 PCS-BD;6A600ZZ;SAME-AS;Procedure;N/A;;;;;
;Phototherapy of Skin by Multiple Duration;;;Phototherapy:(Extracorporeal treatment by light rays) of Skin by Multiple Duration;ICD10 PCS-BD;6A601ZZ;SAME-AS;Procedure;N/A;;;;;
;Suture Removal from Extremity, Lower;;;Suture Removal from Extremity, Lower;ICD10 PCS-BD;8E0YXY8;SAME-AS;Procedure;N/A;;;;;
;Suture Removal from Extremity, Upper;;;Suture Removal from Extremity, Upper;ICD10 PCS-BD;8E0XXY8;SAME-AS;Procedure;N/A;;;;;
;Suture Removal from Head and Neck Region;;;Suture Removal from Head and Neck Region;ICD10 PCS-BD;8E09XY8;SAME-AS;Procedure;N/A;;;;;
;Suture Removal fromTrunk Region;;;Suture Removal fromTrunk Region;ICD10 PCS-BD;8E0WXY8;SAME-AS;Procedure;N/A;;;;;
;Anesthesia;;Anesthesia;Anesthesia;ICD10 PCS-BD;8E0H300 ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Spinal Cord ;Plain X-Ray of Spinal Cord ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Spinal Cord ;ICD10 PCS-BD;B00BZZZ;SAME-AS;Procedure;N/A;;;;;
;Fluoroscopy of Spinal Cord;;;Fluoroscopy:( Single plane or bi-plane real time display of an image developed from the capture of external ionizing radiation on a fluorescent screen. The image may also be stored by either digital or analog means) of Spinal Cord;ICD10 PCS-BD;B01BZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Paranasal Sinuses ;X-Ray  of Paranasal Sinuses ;;Plain Radiography:( Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Paranasal Sinuses ;ICD10 PCS-BD;B902ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Nasopharynx/Oropharynx ;Plain X-Ray  of Nasopharynx/Oropharynx ;;Plain Radiography:( Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Nasopharynx/Oropharynx ;ICD10 PCS-BD;B90FZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Mastoids ;X-Ray  of Mastoids ;;Plain Radiography:( Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Mastoids ;ICD10 PCS-BD;B90HZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Upper Airways ;Plain X-Ray  of Upper Airways ;;Plain Radiography:( Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Upper Airways ;ICD10 PCS-BD;BB0DZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Esophagus;USG of Esophagus;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Esophagus;ICD10 PCS-BD;BD41ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Stomach;USG of Stomach;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Stomach;ICD10 PCS-BD;BD42ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Gastrointestinal Tract ;USG of Gastrointestinal Tract;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Gastrointestinal Tract ;ICD10 PCS-BD;BD47ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Appendix ;USG of Appendix ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Appendix ;ICD10 PCS-BD;BD48ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Duodenum ;USG of Duodenum ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Duodenum ;ICD10 PCS-BD;BD49ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Rectum ;USG of Rectum ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Rectum ;ICD10 PCS-BD;BD4CZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Bile Ducts ;USG of Bile Ducts;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Bile Ducts ;ICD10 PCS-BD;BF40ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Gallbladder ;USG of Gallbladder;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Gallbladder ;ICD10 PCS-BD;BF42ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Gallbladder and Bile Ducts;USG of Gallbladder and Bile Ducts;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Gallbladder and Bile Ducts;ICD10 PCS-BD;BF43ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Liver ;USG of Liver ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Liver ;ICD10 PCS-BD;BF45ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Liver and Spleen ;USG of Liver and Spleen ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Liver and Spleen ;ICD10 PCS-BD;BF46ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Pancreas ;USG of Pancreas;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Pancreas ;ICD10 PCS-BD;BF47ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Hepatobiliary System, All ;USG of Hepatobiliary System, All ;USG of HBS;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Hepatobiliary System, All ;ICD10 PCS-BD;BF4CZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Adrenal Gland, Right ;USG of Adrenal Gland, Right ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Adrenal Gland, Right ;ICD10 PCS-BD;BG40ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Adrenal Gland, Left ;USG of Adrenal Gland, Left ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Adrenal Gland, Left ;ICD10 PCS-BD;BG41ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Adrenal Glands, Bilateral;USG of Adrenal Glands, Bilateral;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Adrenal Glands, Bilateral;ICD10 PCS-BD;BG42ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Parathyroid Glands;USG of Parathyroid Glands;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Parathyroid Glands;ICD10 PCS-BD;BG43ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Thyroid Gland ;USG of Thyroid Gland ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Thyroid Gland ;ICD10 PCS-BD;BG44ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Breast, Right;Plain X-Ray  of Breast, Right;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Breast, Right;ICD10 PCS-BD;BH00ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Breast, Left ;Plain X-Ray  of Breast, Left ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Breast, Left ;ICD10 PCS-BD;BH01ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Breasts, Bilateral ;Plain X-Ray  of Breasts, Bilateral ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Breasts, Bilateral ;ICD10 PCS-BD;BH02ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Single Mammary Duct, Right ;Plain X-Ray  of Single Mammary Duct, Right ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Single Mammary Duct, Right ;ICD10 PCS-BD;BH03ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Single Mammary Duct, Left;Plain X-Ray  of Single Mammary Duct, Left;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Single Mammary Duct, Left;ICD10 PCS-BD;BH04ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Multiple Mammary Ducts, Right ;Plain X-Ray  of Multiple Mammary Ducts, Right ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Multiple Mammary Ducts, Right ;ICD10 PCS-BD;BH05ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Multiple Mammary Ducts, Left ;Plain X-Ray  of Multiple Mammary Ducts, Left ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Multiple Mammary Ducts, Left ;ICD10 PCS-BD;BH06ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Breast, Right ;USG of Breast, Right ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Breast, Right ;ICD10 PCS-BD;BH40ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Breast, Left ;USG of Breast, Left ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Breast, Left ;ICD10 PCS-BD;BH41ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Breasts, Bilateral ;USG of Breasts, Bilateral ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Breasts, Bilateral ;ICD10 PCS-BD;BH42ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Extremity, Upper ;USG of Extremity, Upper ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Extremity, Upper ;ICD10 PCS-BD;BH47ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Extremity, Lower ;USG of Extremity, Lower ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Extremity, Lower ;ICD10 PCS-BD;BH48ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Abdominal Wall ;USG of Abdominal Wall ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Abdominal Wall ;ICD10 PCS-BD;BH49ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Chest Wall ;USG of Chest Wall ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Chest Wall ;ICD10 PCS-BD;BH4BZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Head and Neck ;USG of Head and Neck ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Head and Neck ;ICD10 PCS-BD;BH4CZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Connective Tissue, Upper Extremity ;USG of Connective Tissue, Upper Extremity ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Connective Tissue, Upper Extremity ;ICD10 PCS-BD;BL40ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Connective Tissue, Lower Extremity ;USG of Connective Tissue, Lower Extremity ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Connective Tissue, Lower Extremity ;ICD10 PCS-BD;BL41ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Tendons, Upper Extremity ;USG of Tendons, Upper Extremity;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Tendons, Upper Extremity ;ICD10 PCS-BD;BL42ZZZ;SAME-AS;Procedure;N/A;;;;;
;Ultrasonography of Tendons, Lower Extremity ;USG of Tendons, Lower Extremity ;;Ultrasonography:(Real time display of images of anatomy or flow information developed from the capture of reflected and attenuated high frequency sound waves) of Tendons, Lower Extremity ;ICD10 PCS-BD;BL43ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Skull ;X-Ray  of Skull ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Skull ;ICD10 PCS-BD;BN00ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Orbit, Right ;X-Ray  of Orbit, Right ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Orbit, Right ;ICD10 PCS-BD;BN01ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Orbit, Left;X-Ray  of Orbit, Left;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Orbit, Left;ICD10 PCS-BD;BN02ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Orbit, Bilateral ;X-Ray  of Orbit, Bilateral ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Orbit, Bilateral ;ICD10 PCS-BD;BN03ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Nasal Bones;X-Ray  of Nasal Bones;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Nasal Bones;ICD10 PCS-BD;BN04ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Facial Bones ;X-Ray  of Facial Bones ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Facial Bones ;ICD10 PCS-BD;BN05ZZZ;SAME-AS;Procedure;N/A;;;;;
;Plain Radiography of Mandible ;X-Ray  of Mandible ;;Plain Radiography:(Planar display of an image developed from the capture of external ionizing radiation on photographic or photoconductive plate) of Mandible ;ICD10 PCS-BD;BN06ZZZ;SAME-AS;Procedure;N/A;;;;;
